land,tool,charge_time_land,price,price_USDT,charge_time,cpu,wax_stake_peracc,wax_total_cost_peracc,tlm_peracc_daily,accounts,wax_net_monthly,USD_net_monthly,ROI_tool_each_acc,percent_interest_monthly,interval_new_acc,score
Icy Mountains,Basic Trilium Detector,2.0,149.9,18.0,680.0,41.0,492.0,941.7,11.8,3.7,285.0,34.0,143.0,8.3,99.0,0.957837223914737
Icy Desert,Basic Trilium Detector,1.7,149.9,18.0,578.0,48.0,576.0,1025.7,12.4,3.4,276.0,33.0,136.0,8.0,111.0,0.9458809569587177
Geothermal Springs,Basic Trilium Detector,1.5,149.9,18.0,510.0,54.0,648.0,1097.7,13.3,3.1,271.0,33.0,127.0,7.9,122.0,0.9431937275365043
Dormant Volcano,Basic Trilium Detector,2.5,149.9,18.0,850.0,32.0,384.0,833.7,10.4,4.1,276.0,33.0,162.0,8.0,91.0,0.9400923585392642
Rocky Coastline,Basic Trilium Detector,2.0,149.9,18.0,680.0,41.0,492.0,941.7,11.2,3.7,269.0,32.0,150.0,7.8,105.0,0.9337185121715228
Mountains,Basic Trilium Detector,3.0,149.9,18.0,1020.0,27.0,324.0,773.7,9.1,4.5,262.0,31.0,185.0,7.6,89.0,0.9162689466392075
Dormant Volcano,Standard Drill,2.5,50.9,6.1,600.0,46.0,552.0,704.7,7.4,4.9,227.0,27.0,77.0,6.6,93.0,0.9053172801957661
Geothermal Springs,Infused Extractor,1.5,257.0,30.9,1080.0,26.0,312.0,1083.0,12.6,3.2,264.0,32.0,229.0,7.7,123.0,0.9040144208102756
Mountains,Standard Drill,3.0,50.9,6.1,720.0,38.0,456.0,608.7,6.5,5.7,229.0,27.0,88.0,6.6,80.0,0.9033193971054743
Geothermal Springs,Power Extractor,1.5,172.0,20.7,810.0,34.0,408.0,924.0,10.4,3.7,249.0,30.0,186.0,7.2,111.0,0.8966401080767921
Icy Mountains,Power Extractor,2.0,172.0,20.7,1080.0,26.0,312.0,828.0,9.4,4.2,253.0,30.0,205.0,7.3,98.0,0.8965351177368206
